"Preview Page","Preview Page"
"Versions","Versions"
"Version Id","Version Id"
"Restore","Restore"
"This will load this version into current page without saving it. Continue?","This will load this version into current page without saving it. Continue?"
"Preview","Preview"
"Delete","Delete"
"Are you sure?","Are you sure?"
"The version has been loaded successfully.","The version has been loaded successfully."
"Unable to find a version to restore.","Unable to find a version to restore."
"Unable to find a version to preview.","Unable to find a version to preview."
"The version has been deleted.","The version has been deleted."
"Unable to find a version to delete.","Unable to find a version to delete."